triples,k,mode,optimization_time
29,3,js,62.565200000000004
30,3,js,69.23440000000001
31,3,js,79.0112
32,3,js,86.8394
33,3,js,95.17119999999998
34,3,js,106.19200000000001
35,3,js,118.85920000000002
36,3,js,128.7132
37,3,js,141.4118
38,3,js,153.31980000000001
39,3,js,169.286
40,3,js,182.6116
41,3,js,202.65159999999997
42,3,js,217.3512
43,3,js,241.53000000000003
44,3,js,256.798
45,3,js,276.92719999999997
46,3,js,300.3264
47,3,js,321.50640000000004
48,3,js,339.5898
49,3,js,369.8496
50,3,js,400.4814
2,4,js,0.022
3,4,js,0.044
4,4,js,0.1196
5,4,js,0.29860000000000003
6,4,js,0.7249999999999999
7,4,js,1.6022000000000003
8,4,js,3.2461999999999995
9,4,js,7.0176
10,4,js,11.8262
11,4,js,17.3634
12,4,js,27.7606
13,4,js,43.0682
14,4,js,60.607000000000006
15,4,js,79.1418
16,4,js,104.81860000000002
17,4,js,145.97840000000002
18,4,js,180.434
19,4,js,237.1116
20,4,js,299.9782
21,4,js,377.82359999999994
22,4,js,466.8656
23,4,js,566.7909999999999
24,4,js,670.8209999999999
25,4,js,798.1039999999999
26,4,js,948.8122
27,4,js,1201.1856
28,4,js,1407.1194
29,4,js,1609.7207999999998
30,4,js,1947.1204000000002
31,4,js,2249.1974
32,4,js,2549.9936000000002
33,4,js,2994.3688
34,4,js,3380.4324
35,4,js,3803.321
36,4,js,4420.530000000001
37,4,js,4844.0862
38,4,js,5398.611200000001
2,5,js,0.022199999999999998
3,5,js,0.04379999999999999
4,5,js,0.1182
5,5,js,0.3922
6,5,js,1.1924
7,5,js,3.3326000000000002
8,5,js,7.5844
9,5,js,21.3992
10,5,js,38.834199999999996
11,5,js,71.07919999999999
12,5,js,118.51320000000001
13,5,js,193.1658
14,5,js,298.68899999999996
15,5,js,436.0062
16,5,js,648.5952
17,5,js,920.6323999999998
18,5,js,1369.6739999999998
19,5,js,1898.1366000000003
20,5,js,2427.6022000000003
21,5,js,3340.7987999999996
22,5,js,4329.3412
23,5,js,5483.9408
2,6,js,0.022
3,6,js,0.044399999999999995
4,6,js,0.1444
5,6,js,0.46420000000000006
6,6,js,1.5824000000000003
7,6,js,6.2702
8,6,js,21.2086
9,6,js,50.800200000000004
10,6,js,117.30199999999999
11,6,js,251.23960000000002
12,6,js,463.8982
13,6,js,842.2046000000003
14,6,js,1524.0634
15,6,js,2665.6758
16,6,js,4204.5738
17,6,js,6348.712400000001
2,7,js,0.0256
3,7,js,0.045
4,7,js,0.11699999999999999
5,7,js,0.377
6,7,js,1.472
7,7,js,7.708200000000001
8,7,js,27.188399999999994
9,7,js,86.983
10,7,js,236.73899999999998
11,7,js,557.0028
12,7,js,1232.9309999999998
13,7,js,2924.0624000000003
14,7,js,5392.3589999999995
2,8,js,0.0232
3,8,js,0.044599999999999994
4,8,js,0.13
5,8,js,0.39499999999999996
6,8,js,1.5012
7,8,js,8.0662
8,8,js,29.483999999999998
9,8,js,108.7598
10,8,js,346.3864
11,8,js,956.3734000000001
12,8,js,2693.1976000000004
13,8,js,6055.289400000001
2,9,js,0.023799999999999998
3,9,js,0.043199999999999995
4,9,js,0.1286
5,9,js,0.39380000000000004
6,9,js,1.5164
7,9,js,7.917400000000001
8,9,js,29.886000000000003
9,9,js,117.547
10,9,js,395.9772
11,9,js,1234.6245999999999
12,9,js,4041.6252
13,9,js,10223.539200000001
2,10,js,0.022199999999999998
3,10,js,0.044399999999999995
4,10,js,0.11400000000000002
5,10,js,0.39239999999999997
6,10,js,1.5016000000000003
7,10,js,7.9524
8,10,js,28.6652
9,10,js,115.44399999999999
10,10,js,404.159
11,10,js,1361.2902
12,10,js,4828.8748000000005
13,10,js,13892.428999999998
2,2,wasm,0.02495000000000001
3,2,wasm,0.03478333333333332
4,2,wasm,0.046116666666666715
5,2,wasm,0.06014999999999997
6,2,wasm,0.07645
7,2,wasm,0.09123333333333335
8,2,wasm,0.11583333333333336
9,2,wasm,0.14028333333333334
10,2,wasm,0.1611333333333332
11,2,wasm,0.18945000000000004
12,2,wasm,0.22123333333333348
13,2,wasm,0.25485
14,2,wasm,0.2898166666666665
15,2,wasm,0.32743333333333324
16,2,wasm,0.36476666666666685
