triples,k,mode,memory_usage
2,2,wasm,262.144
3,2,wasm,262.144
4,2,wasm,262.144
5,2,wasm,262.144
6,2,wasm,262.144
7,2,wasm,262.144
8,2,wasm,262.144
9,2,wasm,262.144
10,2,wasm,262.144
11,2,wasm,262.144
12,2,wasm,262.144
13,2,wasm,262.144
14,2,wasm,262.144
15,2,wasm,262.144
16,2,wasm,262.144
17,2,wasm,262.144
18,2,wasm,262.144
19,2,wasm,262.144
20,2,wasm,262.144
21,2,wasm,262.144
22,2,wasm,262.144
23,2,wasm,262.144
24,2,wasm,262.144
25,2,wasm,262.144
26,2,wasm,262.144
27,2,wasm,262.144
28,2,wasm,262.144
29,2,wasm,262.144
30,2,wasm,262.144
31,2,wasm,262.144
32,2,wasm,262.144
33,2,wasm,262.144
34,2,wasm,262.144
35,2,wasm,262.144
36,2,wasm,262.144
37,2,wasm,262.144
38,2,wasm,262.144
39,2,wasm,262.144
40,2,wasm,327.68
41,2,wasm,327.68
42,2,wasm,327.68
43,2,wasm,327.68
44,2,wasm,327.68
45,2,wasm,327.68
46,2,wasm,327.68
47,2,wasm,327.68
48,2,wasm,327.68
49,2,wasm,393.216
50,2,wasm,393.216
2,3,wasm,262.144
3,3,wasm,262.144
4,3,wasm,262.144
5,3,wasm,262.144
6,3,wasm,262.144
7,3,wasm,262.144
8,3,wasm,262.144
9,3,wasm,262.144
10,3,wasm,262.144
11,3,wasm,262.144
12,3,wasm,327.68
13,3,wasm,327.68
14,3,wasm,393.216
15,3,wasm,458.752
16,3,wasm,458.752
17,3,wasm,524.288
18,3,wasm,655.36
19,3,wasm,720.896
20,3,wasm,786.432
21,3,wasm,917.504
22,3,wasm,1048.576
23,3,wasm,1179.648
24,3,wasm,1310.72
25,3,wasm,1441.792
26,3,wasm,1572.864
27,3,wasm,1769.472
28,3,wasm,1966.08
29,3,wasm,2162.688
30,3,wasm,2359.296
31,3,wasm,2621.44
32,3,wasm,2818.048
33,3,wasm,3080.192
34,3,wasm,3407.872
35,3,wasm,3670.016
36,3,wasm,3997.696
37,3,wasm,4325.376
38,3,wasm,4653.056
39,3,wasm,5046.272
40,3,wasm,5439.488
41,3,wasm,5832.704
42,3,wasm,6291.456
43,3,wasm,6750.208
44,3,wasm,7208.96
45,3,wasm,7733.248
46,3,wasm,8192
47,3,wasm,8716.288
48,3,wasm,9306.112
49,3,wasm,9895.936
50,3,wasm,10485.76
2,4,wasm,262.144
3,4,wasm,262.144
4,4,wasm,262.144
5,4,wasm,262.144
6,4,wasm,262.144
7,4,wasm,262.144
8,4,wasm,262.144
9,4,wasm,262.144
10,4,wasm,393.216
11,4,wasm,458.752
12,4,wasm,589.824
13,4,wasm,720.896
14,4,wasm,917.504
15,4,wasm,1179.648
16,4,wasm,1441.792
17,4,wasm,1900.544
18,4,wasm,2293.76
19,4,wasm,2818.048
20,4,wasm,3407.872
21,4,wasm,4194.304
22,4,wasm,4980.736
23,4,wasm,5898.24
24,4,wasm,6946.816
25,4,wasm,8126.464
26,4,wasm,9699.328
27,4,wasm,11206.656
28,4,wasm,12845.056
29,4,wasm,14811.136
30,4,wasm,16842.752
31,4,wasm,19136.512
32,4,wasm,22151.168
33,4,wasm,24903.68
34,4,wasm,28180.48
35,4,wasm,31457.28
36,4,wasm,35061.76
37,4,wasm,38993.92
38,4,wasm,43253.76
39,4,wasm,47906.816
40,4,wasm,53936.128
2,5,wasm,262.144
3,5,wasm,262.144
4,5,wasm,262.144
5,5,wasm,262.144
6,5,wasm,262.144
7,5,wasm,262.144
8,5,wasm,262.144
9,5,wasm,393.216
10,5,wasm,524.288
11,5,wasm,720.896
12,5,wasm,983.04
13,5,wasm,1507.328
14,5,wasm,2031.616
15,5,wasm,2883.584
16,5,wasm,3932.16
17,5,wasm,5177.344
18,5,wasm,7077.888
19,5,wasm,9175.04
20,5,wasm,12189.696
21,5,wasm,15466.496
22,5,wasm,19202.048
23,5,wasm,23855.104
24,5,wasm,30539.776
25,5,wasm,37158.912
26,5,wasm,44826.624
27,5,wasm,55967.744
2,6,wasm,262.144
3,6,wasm,262.144
4,6,wasm,262.144
5,6,wasm,262.144
6,6,wasm,262.144
7,6,wasm,262.144
8,6,wasm,262.144
9,6,wasm,393.216
10,6,wasm,589.824
11,6,wasm,983.04
12,6,wasm,1572.864
13,6,wasm,2359.296
14,6,wasm,3735.552
15,6,wasm,5701.632
16,6,wasm,8257.536
17,6,wasm,12255.232
18,6,wasm,17104.896
19,6,wasm,24510.464
20,6,wasm,33161.216
21,6,wasm,46202.88
22,6,wasm,60686.336
2,7,wasm,262.144
3,7,wasm,262.144
4,7,wasm,262.144
5,7,wasm,262.144
6,7,wasm,262.144
7,7,wasm,262.144
8,7,wasm,262.144
9,7,wasm,393.216
10,7,wasm,655.36
11,7,wasm,1114.112
12,7,wasm,1966.08
13,7,wasm,3342.336
14,7,wasm,5701.632
15,7,wasm,9043.968
16,7,wasm,14614.528
17,7,wasm,23199.744
18,7,wasm,34406.4
19,7,wasm,52232.192
2,8,wasm,262.144
3,8,wasm,262.144
4,8,wasm,262.144
5,8,wasm,262.144
6,8,wasm,262.144
7,8,wasm,262.144
8,8,wasm,262.144
9,8,wasm,458.752
10,8,wasm,720.896
11,8,wasm,1245.184
12,8,wasm,2228.224
13,8,wasm,3997.696
14,8,wasm,7274.496
15,8,wasm,12779.52
16,8,wasm,22216.704
17,8,wasm,35651.584
18,8,wasm,58916.864
2,9,wasm,262.144
3,9,wasm,262.144
4,9,wasm,262.144
5,9,wasm,262.144
6,9,wasm,262.144
7,9,wasm,262.144
8,9,wasm,262.144
9,9,wasm,458.752
10,9,wasm,720.896
11,9,wasm,1245.184
12,9,wasm,2293.76
13,9,wasm,4390.912
14,9,wasm,8257.536
15,9,wasm,15400.96
16,9,wasm,27983.872
17,9,wasm,50069.504
2,10,wasm,262.144
3,10,wasm,262.144
4,10,wasm,262.144
5,10,wasm,262.144
6,10,wasm,262.144
7,10,wasm,262.144
8,10,wasm,262.144
9,10,wasm,458.752
10,10,wasm,720.896
11,10,wasm,1245.184
12,10,wasm,2359.296
13,10,wasm,4521.984
14,10,wasm,8781.824
15,10,wasm,16908.288
16,10,wasm,32243.712
17,10,wasm,60227.584
2,2,js,19.752
3,2,js,258
4,2,js,475.048
5,2,js,118.976
6,2,js,300.056
7,2,js,342.992
8,2,js,338.728
9,2,js,452.024
10,2,js,671.368
11,2,js,731.952
12,2,js,905.072
13,2,js,1402.416
14,2,js,1406.936
15,2,js,1841.44
16,2,js,1762.296
17,2,js,1824.4
18,2,js,2375.76
19,2,js,2592.184
20,2,js,2716.928
21,2,js,3050.52
22,2,js,3094.44
23,2,js,2890.672
24,2,js,2986.792
25,2,js,3324.48
26,2,js,3606.184
27,2,js,4066.384
28,2,js,5619.032
29,2,js,5186.76
30,2,js,4262.096
31,2,js,7515.584
32,2,js,7854.072
33,2,js,7775.928
34,2,js,8516.016
35,2,js,8259.208
36,2,js,8082.504
37,2,js,6899.12
38,2,js,8436.536
39,2,js,8015.552
40,2,js,8090.144
41,2,js,8227.88
42,2,js,7914.2
43,2,js,15645.736
44,2,js,17065.704
45,2,js,16926.88
46,2,js,16969.336
47,2,js,16796.632
48,2,js,16938.704
49,2,js,16819.456
50,2,js,16826.888
2,3,js,33.656
3,3,js,228.568
4,3,js,284.632
5,3,js,337.672
6,3,js,726.248
7,3,js,1019.112
8,3,js,1543.936
9,3,js,2727.264
10,3,js,3054.12
11,3,js,4200.896
12,3,js,4540.816
13,3,js,6517.28
14,3,js,7543.248
15,3,js,12131.128
16,3,js,12587.152
17,3,js,14313.816
18,3,js,15265.392
19,3,js,15018.4
20,3,js,14023.712
21,3,js,16601.224
22,3,js,15825.928
23,3,js,14163.8
24,3,js,18422.856
25,3,js,19163.096
26,3,js,17577.192
27,3,js,20524.464
28,3,js,19889.992
29,3,js,23227.032
30,3,js,23609.112
31,3,js,23547.496
32,3,js,23441.76
33,3,js,25483.536
34,3,js,28264.2
35,3,js,27266.616
36,3,js,29225.48
37,3,js,31505.672
38,3,js,30505.912
39,3,js,34537.424
40,3,js,34592.168
41,3,js,36338.752
42,3,js,35465.376
43,3,js,42663.152
44,3,js,44191.232
45,3,js,47279.704
46,3,js,43377.048
47,3,js,46916.392
48,3,js,45979.872
49,3,js,55282.864
2,4,js,227.928
3,4,js,49.568
4,4,js,435.632
5,4,js,969.568
6,4,js,2058.312
7,4,js,3651.448
8,4,js,5942.28
9,4,js,10939.344
10,4,js,16660.496
11,4,js,13983.016
12,4,js,8138.44
13,4,js,14318.768
14,4,js,15335.048
15,4,js,19336.64
16,4,js,18055.176
17,4,js,15924.496
18,4,js,24078.824
19,4,js,23410.544
20,4,js,24753.184
21,4,js,23651.496
22,4,js,31496.984
23,4,js,35982.144
24,4,js,40642.784
25,4,js,40348.264
26,4,js,50891.24
2,5,js,233.136
3,5,js,79.776
4,5,js,426.392
5,5,js,1042.224
6,5,js,3707.632
7,5,js,8027.568
8,5,js,13772.912
9,5,js,15323.08
10,5,js,11439.008
11,5,js,21046.672
12,5,js,20381.456
13,5,js,13906.376
14,5,js,23474.032
15,5,js,23778.04
16,5,js,23479.504
17,5,js,32721.76
18,5,js,35431.504
19,5,js,48002.984
20,5,js,56222.216
2,6,js,233.064
3,6,js,71.472
4,6,js,373.208
5,6,js,1222.048
6,6,js,4431.736
7,6,js,11297.784
8,6,js,1862.088
9,6,js,7759.096
10,6,js,8683.224
11,6,js,18046.376
12,6,js,17171.064
13,6,js,16912.032
14,6,js,28717.232
15,6,js,31361.24
16,6,js,37677.352
17,6,js,48759.632
18,6,js,59211.36
2,7,js,214.856
3,7,js,119.712
4,7,js,226.6
5,7,js,1067.704
6,7,js,4512.328
7,7,js,12713.872
8,7,js,13106.32
9,7,js,14453.872
10,7,js,17058.432
11,7,js,19795.824
12,7,js,17924.928
13,7,js,24175.456
14,7,js,25372.76
15,7,js,42740.224
16,7,js,58407.52
2,8,js,57.936
3,8,js,236.568
4,8,js,224.288
5,8,js,1190.392
6,8,js,4436.632
7,8,js,12599.024
8,8,js,4383.152
9,8,js,7586.8
10,8,js,14409.36
11,8,js,12589.544
12,8,js,19024.584
13,8,js,24402.68
14,8,js,39012.592
15,8,js,53189.952
2,9,js,214.832
3,9,js,57.68
4,9,js,321.944
5,9,js,1048.488
6,9,js,4690.896
7,9,js,11893.72
8,9,js,18282.944
9,9,js,11704.136
10,9,js,4533.872
11,9,js,17320.616
12,9,js,12458.096
13,9,js,19342.096
14,9,js,37229.968
15,9,js,49373.224
16,9,js,89110.112
2,10,js,215.024
3,10,js,86.088
4,10,js,395.976
5,10,js,1178.6
6,10,js,4481.016
7,10,js,14342.312
8,10,js,12110.4
9,10,js,10547.328
10,10,js,18204.592
11,10,js,21811.104
12,10,js,24171.128
13,10,js,26333.464
14,10,js,34027.032
15,10,js,64393.32
