triples,k,mode,memory_usage
2,2,js,21296
3,2,js,307240
4,2,js,86560
5,2,js,314080
6,2,js,177216
7,2,js,253528
8,2,js,346056
9,2,js,477296
10,2,js,618072
11,2,js,1058304
12,2,js,916344
13,2,js,1103128
14,2,js,1319704
15,2,js,1557216
16,2,js,1833096
17,2,js,1816568
18,2,js,2064520
19,2,js,2348712
20,2,js,2697320
21,2,js,3019032
22,2,js,3043576
23,2,js,2886704
24,2,js,3198640
25,2,js,3319648
26,2,js,3646968
27,2,js,5489344
28,2,js,5821072
29,2,js,5132840
30,2,js,6201368
31,2,js,4950592
32,2,js,4875304
33,2,js,8703808
34,2,js,8914560
35,2,js,8275144
36,2,js,8191624
37,2,js,11379984
38,2,js,10907928
39,2,js,10488912
40,2,js,8123448
41,2,js,14831560
42,2,js,15498896
43,2,js,16116264
44,2,js,16508280
45,2,js,16824208
46,2,js,16765896
47,2,js,16827520
48,2,js,16687656
49,2,js,16643264
50,2,js,16663144
2,3,js,214896
3,3,js,173312
4,3,js,127560
5,3,js,484792
6,3,js,577832
7,3,js,1037456
8,3,js,1760240
9,3,js,1953752
10,3,js,3491392
11,3,js,4281584
12,3,js,5017816
13,3,js,5256992
14,3,js,8524632
15,3,js,10569840
16,3,js,12372952
17,3,js,14903128
18,3,js,15222304
19,3,js,15403888
20,3,js,13961584
21,3,js,15657480
22,3,js,15366328
23,3,js,16016360
24,3,js,18208400
25,3,js,18841176
26,3,js,17422872
27,3,js,21339664
28,3,js,21125152
29,3,js,24208712
30,3,js,23195784
31,3,js,22838576
32,3,js,26471288
2,4,js,222760
3,4,js,46520
4,4,js,367672
5,4,js,864968
6,4,js,1919712
7,4,js,3745032
8,4,js,6676736
9,4,js,12790528
10,4,js,15598848
11,4,js,16850544
12,4,js,8736584
13,4,js,17942328
14,4,js,20475720
15,4,js,17862808
16,4,js,22506560
17,4,js,21135648
18,4,js,21693784
19,4,js,25286400
2,5,js,42720
3,5,js,75592
4,5,js,232200
5,5,js,1091104
6,5,js,3377040
7,5,js,6920328
8,5,js,15677912
9,5,js,15985144
10,5,js,10332872
11,5,js,18625152
12,5,js,19989568
13,5,js,8823688
14,5,js,24174976
15,5,js,23215992
16,5,js,24241792
17,5,js,30198064
2,6,js,22680
3,6,js,167832
4,6,js,366856
5,6,js,1173056
6,6,js,4192944
7,6,js,10778144
8,6,js,2920232
9,6,js,8922760
10,6,js,7464504
11,6,js,12171512
12,6,js,16335952
13,6,js,24113656
14,6,js,24371992
15,6,js,26511832
2,7,js,215216
3,7,js,288384
4,7,js,368888
5,7,js,1062928
6,7,js,4458712
7,7,js,12250000
8,7,js,6239176
9,7,js,12034128
10,7,js,12320208
11,7,js,21986888
12,7,js,22050600
13,7,js,20912648
14,7,js,34256888
2,8,js,30736
3,8,js,204400
4,8,js,364392
5,8,js,1208368
6,8,js,4350696
7,8,js,12650080
8,8,js,13538320
9,8,js,5903584
10,8,js,13465328
11,8,js,11865904
12,8,js,17081288
13,8,js,26522384
2,9,js,215576
3,9,js,124824
4,9,js,431904
5,9,js,1163848
6,9,js,4065408
7,9,js,13115976
8,9,js,7901464
9,9,js,18906968
10,9,js,7021408
11,9,js,10817104
12,9,js,11072848
13,9,js,30918440
2,10,js,215496
3,10,js,45632
4,10,js,230296
5,10,js,1367912
6,10,js,4376360
7,10,js,13625864
8,10,js,16846544
9,10,js,13977144
10,10,js,15511456
11,10,js,17036664
12,10,js,21465376
13,10,js,34045448
